,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
1840,9114,τBitcoin,ΤBTC,t-bitcoin,1,2021-04-05T00:00:00.000Z,['bnb-chain'],2100.0,310.0,2100.0,,1841,,,,2022-07-16T22:07:00.000Z,937.2735458945252,257.7124284,0.0,0.04916184,5.31054711,-1.69919329,5.20425104,-30.32390356,-63.55674219,290554.79922730284,0.0,1968274.45,,2022-07-16T22:07:00.000Z,1839.0,BNB,BNB,bnb,0x2cd1075682b0fccaadd0ca629e138e64015ba11c
1841,12614,Dragon Kart,KART,dragon-kart,8,2021-10-11T11:45:46.000Z,['vbc-ventures-portfolio'],100000000.0,19524302.90930586,24845833.33333333,,1839,,,,2022-07-16T22:07:00.000Z,0.014870621950670277,7424.07517276,-40.5036,-0.1562205,1.14265032,-21.71841205,-36.18112167,-77.46510909,-91.58863045,290338.5274146593,0.0,1487062.2,,2022-07-16T22:07:00.000Z,1839.0,BNB,BNB,bnb,0x8bdd8dbcbdf0c066ca5f3286d33673aa7a553c10
1842,2592,Banca,BANCA,banca,4,2018-03-18T00:00:00.000Z,[],,17926481683.56437,20000000000.0,,1843,,,,2022-07-16T22:07:00.000Z,1.611241404664418e-05,0.27393669,-99.7693,0.17030594,-35.83162081,-18.01101564,-8.61834724,-11.22139642,-44.30870843,288838.89528517216,0.0,322248.28,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x998b3b82bc9dba173990be7afb772788b5acb8bd
1843,8340,Natus Vincere Fan Token,NAVI,natus-vincere-fan-token,1,2021-01-27T00:00:00.000Z,"['sports', 'fan-token']",5000000.0,1001066.0,5000000.0,,1845,,,,2022-07-16T22:07:00.000Z,0.28831206955390537,37868.92049988,2.9674,-5.57197522,-1.86990803,0.89149698,4.68666633,-9.87104253,-56.6409993,288619.41022004985,0.0,1441560.35,,2022-07-16T22:07:00.000Z,,,,,
1844,12572,Waterfall DeFi,WTF,waterfall-defi,6,2021-10-10T07:53:40.000Z,['mvb'],100000000.0,3937370.11799566,100000000.0,,1844,9283654.0,678678.533656125,,2022-07-16T22:07:00.000Z,0.07310467771161279,1315.5261134,-91.4518,-0.02987504,0.2084631,-3.35120461,-26.04446851,-50.19636122,-70.48083008,287840.17350740754,0.0,7310467.77,,2022-07-16T22:07:00.000Z,1839.0,BNB,BNB,bnb,0xd73f32833b6d5d9c8070c23e599e283a3039823c
1845,5409,4THPILLAR TECHNOLOGIES,FOUR,4thpillar-technologies,8,2020-04-02T00:00:00.000Z,[],400000000.0,126901358.92,400000000.0,,1846,,,,2022-07-16T22:06:00.000Z,0.0022659123445528577,1094.67199347,384.9038,0.10811003,2.48653693,13.62817583,84.93539492,18.63118857,-28.49586357,287547.3557173609,0.0,906364.94,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4730fb1463a6f1f44aeb45f6c5c422427f37f4d0
1846,5155,Nyzo,NYZO,nyzo,6,2020-01-21T00:00:00.000Z,[],,11919651.239873,100000000.0,,1847,17207560.617564,414533.81467213866,,2022-07-16T22:06:00.000Z,0.0240902138243243,17830.1675893,-3.7137,0.17872472,2.29740208,1.72734492,-1.39865265,-11.73199846,-42.79302298,287146.9470799128,0.0,2409021.38,,2022-07-16T22:06:00.000Z,,,,,
1847,360,Motocoin,MOTO,motocoin,1,2014-06-03T00:00:00.000Z,"['mineable', 'pop']",,19642673.069064,32173303.263513,,1848,,,,2022-07-16T22:07:00.000Z,0.014611861927260059,0.0,0.0,0.06707468,1.06975002,-2.36940022,2.49170829,-44.33111591,-32.56550804,287016.02676747274,0.0,470111.87,,2022-07-16T22:07:00.000Z,,,,,
1848,3280,RealTract,RET,realtract,2,2018-09-13T00:00:00.000Z,"['platform', 'smart-contracts']",,10600000000.0,24600000000.0,,1849,,,,2022-07-16T22:06:00.000Z,2.6858544114084195e-05,1323.75876062,-20.3603,0.13237359,6.96307527,-45.02751398,-39.0238216,-83.51217332,-87.55367809,284700.56760929246,0.0,660720.19,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xd7394087e1dbbe477fe4f1cf373b9ac9459565ff
1849,7803,Ethereum Stake,ETHYS,ethereum-stake,1,2020-11-29T00:00:00.000Z,['defi'],500000.0,200000.0,500000.0,,1850,,,,2022-07-16T22:06:00.000Z,1.4209016166702024,0.0,0.0,0.08226374,7.03673973,15.62986162,33.117154,-27.96254653,-47.49569824,284180.32333404047,0.0,710450.81,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xd0d3ebcad6a20ce69bc3bc0e1ec964075425e533
